id_organomar,ponto,ambiente,matriz,campanha,latitude,longitude,grupo,unidade,analito,concentracao_padronizada
,,Mapa base,Matriz,Mês/Ano,-8.6825,-35.1035,Contaminantes,,Analito,
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,naftaleno,0
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,naftaleno,0.13
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,naftaleno,0
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,naftaleno,0
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,naftaleno,0
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,naftaleno,1
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,naftaleno,0
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,naftaleno,0
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,naftaleno,0
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,naftaleno,0
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,naftaleno,0
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,c1_naftaleno,0
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,c1_naftaleno,0
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,c1_naftaleno,0
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,c1_naftaleno,0
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,c1_naftaleno,0
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,c1_naftaleno,1
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,c1_naftaleno,0
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,c1_naftaleno,0
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,c1_naftaleno,0
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,c1_naftaleno,0.89
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,c1_naftaleno,0
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,c2_naftaleno,0.57
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,c2_naftaleno,0.17
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,c2_naftaleno,0
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,c2_naftaleno,0
